CatchID,DateTimeID,BirdID,BirdType,LocationID,Longitude,Laditude,WebID,WebName,Temperature,IsRaining,IsFirstCatch
1,1.1.24 23:21,3,Kohlmeise,4,"14,34",5057,4,03o4,26,1,0
2,7.11.21 4:17,27,Blaumeise,7,"10,2",5459,3,04w3,6,0,0
3,8.10.24 23:54,29,Amsel,6,"6,06",4980,1,02k3,12,0,0
4,20.11.23 17:18,22,Blaumeise,6,"6,06",4980,1,02k3,17,1,0
5,6.2.21 4:21,11,Star,7,"10,2",5459,4,03o4,3,0,0
6,7.8.23 15:54,17,Elster,2,"6,76",4901,1,02k3,18,0,0
7,25.6.21 16:22,19,Schwanzmeise,1,"14,2",5442,4,03o4,-4,1,0
8,2.11.24 21:10,25,Rotkehlchen,4,"14,34",5057,2,02w2,-2,0,0
9,23.12.21 9:49,33,Amsel,8,"7,03",5313,1,02k3,28,0,1
10,4.7.23 0:19,18,Star,3,"9,18",5239,3,04w3,10,0,0
11,6.8.23 13:50,11,Star,2,"6,76",4901,5,02o4,17,0,1
12,19.3.23 6:40,8,Rotkehlchen,2,"6,76",4901,1,02k3,3,0,0
13,11.5.24 8:54,32,Blaumeise,1,"14,2",5442,1,02k3,25,1,0
14,10.8.22 16:51,33,Amsel,4,"14,34",5057,4,03o4,4,1,0
15,5.9.21 7:22,33,Amsel,1,"14,2",5442,2,02w2,-3,0,0
16,26.12.21 9:00,35,Amsel,4,"14,34",5057,3,04w3,19,1,0
17,14.12.24 11:29,18,Star,3,"9,18",5239,5,02o4,23,0,0
18,22.8.23 15:55,12,Amsel,7,"10,2",5459,4,03o4,-4,1,0
19,16.3.21 12:05,13,Elster,9,"7,8",5417,5,02o4,6,1,0
20,21.12.20 10:09,21,Schwanzmeise,9,"7,8",5417,4,03o4,29,0,0
21,22.2.20 12:16,22,Blaumeise,10,"11,35",4765,4,03o4,23,0,1
22,20.9.24 20:45,3,Kohlmeise,8,"7,03",5313,5,02o4,8,0,1
23,16.2.22 8:58,3,Kohlmeise,5,"12,59",5422,2,02w2,6,1,0
24,17.6.23 4:23,27,Blaumeise,5,"12,59",5422,5,02o4,9,0,0
25,9.4.21 4:48,14,Schwanzmeise,1,"14,2",5442,2,02w2,-2,1,0
26,6.12.21 16:21,34,Rotkehlchen,4,"14,34",5057,3,04w3,-4,1,0
27,8.9.23 12:15,29,Amsel,10,"11,35",4765,5,02o4,2,0,0
28,4.12.20 2:39,1,Star,8,"7,03",5313,2,02w2,16,1,0
29,25.5.20 8:35,30,Kohlmeise,8,"7,03",5313,4,03o4,4,0,0
30,28.3.24 16:42,15,Schwanzmeise,6,"6,06",4980,3,04w3,13,1,0
31,3.3.22 12:02,23,Blaumeise,7,"10,2",5459,1,02k3,16,1,0
32,26.10.22 13:32,22,Blaumeise,2,"6,76",4901,4,03o4,6,0,0
33,24.3.22 18:29,6,Elster,4,"14,34",5057,2,02w2,5,1,1
34,27.1.20 0:31,28,Schwanzmeise,10,"11,35",4765,4,03o4,13,0,1
35,13.8.23 19:24,33,Amsel,2,"6,76",4901,1,02k3,13,1,0
36,5.4.24 14:52,1,Star,7,"10,2",5459,2,02w2,14,1,1
37,13.5.21 13:07,11,Star,2,"6,76",4901,4,03o4,0,1,0
38,28.4.24 10:23,28,Schwanzmeise,9,"7,8",5417,1,02k3,17,0,0
39,17.2.24 15:55,17,Elster,10,"11,35",4765,1,02k3,19,1,0
40,1.11.20 4:24,4,Star,5,"12,59",5422,5,02o4,20,1,0
41,9.1.20 18:31,19,Schwanzmeise,4,"14,34",5057,1,02k3,15,0,0
42,23.9.22 16:07,29,Amsel,2,"6,76",4901,3,04w3,25,1,0
43,18.11.24 23:19,15,Schwanzmeise,2,"6,76",4901,3,04w3,15,0,0
